model,trial,value_mean,value_std
random_forest,0,0.49622641509433957,0.00462167875996826
random_forest,1,0.49622641509433957,0.00462167875996826
random_forest,2,0.816519644031737,0.039017946181541384
random_forest,3,0.49622641509433957,0.00462167875996826
random_forest,4,0.49622641509433957,0.00462167875996826
random_forest,5,0.49622641509433957,0.00462167875996826
random_forest,6,0.49622641509433957,0.00462167875996826
random_forest,7,0.49622641509433957,0.00462167875996826
random_forest,8,0.49622641509433957,0.00462167875996826
random_forest,9,0.49622641509433957,0.00462167875996826
random_forest,10,0.8662073911161317,0.05829256651440475
random_forest,11,0.8653169501956774,0.057946149070704146
random_forest,12,0.8654219763493021,0.058186911229812295
random_forest,13,0.49622641509433957,0.00462167875996826
random_forest,14,0.49622641509433957,0.00462167875996826
random_forest,15,0.49622641509433957,0.00462167875996826
random_forest,16,0.49622641509433957,0.00462167875996826
random_forest,17,0.49622641509433957,0.00462167875996826
random_forest,18,0.49622641509433957,0.00462167875996826
random_forest,19,0.49622641509433957,0.00462167875996826
random_forest,20,0.49622641509433957,0.00462167875996826
random_forest,21,0.8684092105208512,0.057724986608062974
random_forest,22,0.8361639568176187,0.05579950799398918
random_forest,23,0.49622641509433957,0.00462167875996826
random_forest,24,0.8545825407311403,0.05471646918165888
random_forest,25,0.49622641509433957,0.00462167875996826
random_forest,26,0.49622641509433957,0.00462167875996826
random_forest,27,0.8197531746700321,0.04216392899805337
random_forest,28,0.49622641509433957,0.00462167875996826
random_forest,29,0.49622641509433957,0.00462167875996826
random_forest,30,0.858988977547307,0.055107585954495004
random_forest,31,0.867268087548341,0.05702499773353504
random_forest,32,0.8456418533657516,0.05820660348878188
random_forest,33,0.49622641509433957,0.00462167875996826
random_forest,34,0.49622641509433957,0.00462167875996826
random_forest,35,0.7905988804195401,0.04027698257352093
random_forest,36,0.49622641509433957,0.00462167875996826
random_forest,37,0.49622641509433957,0.00462167875996826
random_forest,38,0.49622641509433957,0.00462167875996826
random_forest,39,0.49622641509433957,0.00462167875996826
random_forest,40,0.49622641509433957,0.00462167875996826
random_forest,41,0.8653735405289037,0.05850202885976911
random_forest,42,0.8568009228653187,0.05727239745844913
random_forest,43,0.8243997218230209,0.04387100536691023
random_forest,44,0.49622641509433957,0.00462167875996826
random_forest,45,0.8645393880041972,0.05702409148745937
random_forest,46,0.81493767592558,0.04629599736186122
random_forest,47,0.49622641509433957,0.00462167875996826
random_forest,48,0.8636709128878906,0.057968518976874224
random_forest,49,0.49622641509433957,0.00462167875996826
random_forest,50,0.8278485208269142,0.05452248915964452
random_forest,51,0.8657958730984605,0.058621423209056465
random_forest,52,0.8685878849662976,0.057345075956751014
random_forest,53,0.49622641509433957,0.00462167875996826
random_forest,54,0.8428842105712245,0.05609556621631504
random_forest,55,0.49622641509433957,0.00462167875996826
random_forest,56,0.49622641509433957,0.00462167875996826
random_forest,57,0.8674447238377345,0.058367868781080426
random_forest,58,0.8661458541524324,0.05801471838381941
random_forest,59,0.49622641509433957,0.00462167875996826
random_forest,60,0.8222986996352551,0.042010545723713606
random_forest,61,0.868783575783924,0.057074533499634914
random_forest,62,0.8620894091196577,0.05563988414544474
random_forest,63,0.8694396160901838,0.055346833969565995
random_forest,64,0.875376381825489,0.057436056400941966
random_forest,65,0.8418475280691602,0.05491401224542039
random_forest,66,0.81513464694197,0.04049114003243304
random_forest,67,0.8707228146694341,0.055339171994637795
random_forest,68,0.8178080619600628,0.042909218973961605
random_forest,69,0.8482577315310031,0.055618362581536324
random_forest,70,0.8680658898331994,0.055360300886502053
random_forest,71,0.866308511828198,0.05637690660963479
random_forest,72,0.8787249548979623,0.054976705040167786
random_forest,73,0.8617922610938157,0.055116483991211385
random_forest,74,0.8724735257078627,0.06017347641524498
random_forest,75,0.8712915843194484,0.058399829386816406
random_forest,76,0.832049064578255,0.048572594753832375
random_forest,77,0.8702531211410616,0.05844768077989218
random_forest,78,0.8634111597421402,0.057066809035080386
random_forest,79,0.8704491301833253,0.056022972609069834
random_forest,80,0.8716513359702063,0.052882955147860976
random_forest,81,0.8712221811547689,0.05294732804492004
random_forest,82,0.8715392522311743,0.05291141043080173
random_forest,83,0.8670896067454089,0.05243045539154091
random_forest,84,0.8147266012432317,0.04320535589961197
random_forest,85,0.8144872269397714,0.04093225110017534
random_forest,86,0.49622641509433957,0.00462167875996826
random_forest,87,0.8741752040954196,0.047944098597625245
random_forest,88,0.828048868951672,0.04297402056372067
random_forest,89,0.49622641509433957,0.00462167875996826
random_forest,90,0.8708039267662653,0.05510510539552307
random_forest,91,0.8700536975566692,0.05519259120109427
random_forest,92,0.841642012273059,0.04746023142441777
random_forest,93,0.8715649141432831,0.05360388657505566
random_forest,94,0.8029465240840163,0.05011769105391506
random_forest,95,0.8255642317949359,0.036307501388607104
random_forest,96,0.8758291404690862,0.04882704795922812
random_forest,97,0.8800297924079737,0.04866055912227942
random_forest,98,0.8780250101527027,0.05213633912897327
random_forest,99,0.49622641509433957,0.00462167875996826
lightgbm,0,0.8241188066478202,0.07013717570072057
lightgbm,1,0.49622641509433957,0.00462167875996826
lightgbm,2,0.49622641509433957,0.00462167875996826
lightgbm,3,0.8842310710472837,0.03877202011676491
lightgbm,4,0.7383133296127415,0.11319863811953673
lightgbm,5,0.49622641509433957,0.00462167875996826
lightgbm,6,0.49622641509433957,0.00462167875996826
lightgbm,7,0.8831892067882144,0.036399509177095946
lightgbm,8,0.49622641509433957,0.00462167875996826
lightgbm,9,0.8891753774694131,0.039484376888920175
lightgbm,10,0.8707149621372627,0.04606136064610733
lightgbm,11,0.817158673285225,0.050931120767860806
lightgbm,12,0.49622641509433957,0.00462167875996826
